Distance,N16,N17,N28,N26,N19,N22,N29,N25,N11,N01,W0
N16,0,50,238,200,200,157,287,276,129,149,340
N17,50,0,190,152,152,114,239,227,139,166,290
N28,238,190,0,42,122,159,149,114,300,330,107
N26,200,152,42,0,122,144,171,140,272,302,149
N19,200,152,122,122,0,53,87,80,209,238,180
N22,157,114,159,144,53,0,134,134,156,184,230
N29,287,239,149,171,87,134,0,37,281,309,148
N25,276,227,114,140,80,134,37,0,288,317,118
N11,129,139,300,272,209,156,281,288,0,30,384
N01,149,166,330,302,238,184,309,317,30,0,414
W0,340,290,107,149,180,230,148,118,384,414,0
